Country,2015exports,2015imports,dist,GDP,inEU,inCommonwealth,log(GDP/distance),log( (GDP_i * GDP_j)/distance),log(exports)
Andorra,4,0,907.9676098840649,3302.0,False,False,0.6662083984078742,7.065648994420338,0.6989700043360189
United Arab Emirates,6085,2070,5190.728739419729,503913.0,False,False,1.991577944056284,8.492069510268976,3.7843319480221482
Afghanistan,9,0,4960.43336282064,20136.0,False,False,0.7040923853014005,7.11339586434582,1.0
Anguilla,0,0,6123.107003138531,0.0,False,False,0.0,-inf,0.0
Albania,1,0,1677.6067571638598,18256.0,False,False,1.0748957196703528,7.541657741950586,0.3010299956639812
Armenia,4,1,3367.96272538372,17693.0,False,False,0.7961109431572437,7.225376482784308,0.6989700043360189
Angola,432,671,6233.0637980499705,124794.0,False,False,1.3226594368674351,7.806434414813519,2.6364878963533656
Argentina,222,570,9640.74681736484,630698.0,False,False,1.8222991040350633,8.32065305773408,2.3483048630481607
American Samoa,0,0,14769.1435861325,0.0,False,False,0.0,-inf,0.0
Austria,1408,2903,716.3407220715849,468046.0,False,False,2.8158330738505652,9.320111179304444,3.1489109931093564
Australia,3738,1722,13024.7365104575,1724787.0,False,True,2.1252337796419596,8.62690880547286,3.5727554651542195
Aruba,18,0,7070.642935308921,3499.0,False,False,0.17460141008042543,6.19942731800022,1.2787536009528289
Azerbaijan,620,75,3461.7687453376698,70066.0,False,False,1.3271533346142834,7.811151553795366,2.79309160017658
Barbados,3,0,6341.259246947061,5788.0,False,True,0.2816587700027506,6.465295295438747,0.6020599913279624
Bangladesh,84,1911,7419.706730635659,460751.0,False,True,1.800017496754764,8.29802182827648,1.9294189257142926
Belgium,11500,20999,79.46172233476071,589491.0,False,False,3.8703777424902177,10.37526148637988,4.060735603449318
Burkina Faso,0,0,3898.4529876804204,18268.0,False,False,0.7548039027812968,7.175740983215619,0.0
Bulgaria,229,299,1762.3434651080102,85008.0,False,False,1.6922807640664494,8.188311527713052,2.361727836017593
Bahrain,202,202,4958.642523917721,43544.0,False,False,0.9904026000354086,7.448507802453519,2.307496037913213
Burundi,0,0,6505.38182096349,3686.0,False,False,0.19496028104222587,6.258224820766371,0.0
Benin,55,0,4237.91071487198,17547.0,False,False,0.7110039816555741,7.1219933550268175,1.7481880270062005
Bermuda,10,27,5017.772944226721,0.0,False,False,0.0,-inf,1.0413926851582251
Brunei,82,65,10871.113410047099,18464.0,False,True,0.4311137451154131,6.734994046659899,1.919078092376074
Bolivia,9,10,8781.121986257329,43431.0,False,False,0.7742213336488882,7.199192100373913,1.0
Brazil,2138,1881,6636.49522339104,1894708.0,False,False,2.4571220255211874,8.960545784304342,3.330210784571528
Bahamas,15,2,6302.22718787053,12693.0,False,True,0.4791504372721025,6.809012506740299,1.2041199826559248
Bhutan,0,0,7336.706960146429,2707.0,False,False,0.13639286004604845,6.071929364382393,0.0
Botswana,8,22,7916.2731146428505,18005.0,False,True,0.5151355588212038,6.8618146381924685,0.9542425094393249
Belarus,36,14,1452.0286764009697,79704.0,False,False,1.7473455935142865,8.24444720550806,1.568201724066995
Belize,2,78,7723.10319292285,2676.0,False,True,0.12920405010015573,6.044636552969008,0.47712125471966244
Canada,3883,5935,2848.99453018303,2200352.0,False,True,2.8883625035210905,9.392742828561863,3.589279221235967
Central African Republic,1,0,4843.40447756018,2488.0,False,False,0.1800364415008061,6.215641918704776,0.3010299956639812
Switzerland,9736,8411,578.962208589678,807418.0,False,False,3.144759511638154,9.649390492306166,3.988425170006303
Ivory Coast,86,139,4358.33992993373,68630.0,False,False,1.2239323858806481,7.702135180354919,1.9395192526186185
Cook Islands,0,0,15306.049340688101,0.0,False,False,0.0,-inf,0.0
Chile,378,555,9742.92528702007,310866.0,False,False,1.5172862361102855,8.008826134445291,2.578639209968072
Cameroon,12,103,4361.856155654021,44212.0,False,True,1.0467312429731201,7.510811103555179,1.1139433523068367
China,12902,35564,5292.874506705361,18321197.0,False,False,3.539387694198258,10.04420452908433,4.110690697273754
Colombia,327,616,7172.58619565984,342919.0,False,False,1.6885058973959581,8.184458054177934,2.515873843711679
Costa Rica,53,187,8089.45214928037,68489.0,False,False,0.9761874734603759,7.432643996373643,1.7323937598229686
Cuba,19,23,6650.27112551567,0.0,False,False,0.0,-inf,1.3010299956639813
Cape Verde,1,0,3996.7390707040795,2053.0,False,False,0.18003084761184043,6.21562543495205,0.3010299956639812
Cyprus,258,129,3049.12077690289,26705.0,False,True,0.9893724942659872,7.4473602366338945,2.413299764081252
Czech Republic,1821,4758,758.5395364749071,295618.0,False,False,2.5918656010079437,9.095694934129366,3.2605483726369795
Germany,30333,60338,297.070529435514,4031149.0,False,False,4.132601284308511,10.637511562308436,4.481929682430212
Djibouti,5,0,5658.48755638418,3725.0,False,False,0.21966391724268822,6.323368193533676,0.7781512503836436
Denmark,2171,3327,519.783463775057,386724.0,False,False,2.872161995753575,9.376520947857616,3.336859820916809
Dominica,1,0,6263.556557828579,599.0,False,True,0.03966493340370148,5.485548100692089,0.3010299956639812
Dominican Republic,115,120,6422.043315207429,112417.0,False,False,1.2672859165067674,7.748101042532108,2.0644579892269186
Algeria,270,1774,1566.84546755471,187155.0,False,False,2.0807960091174005,8.58211755010774,2.432969290874406
Ecuador,127,95,8560.5909155464,115469.0,False,False,1.161021567335174,7.634903942368379,2.1072099696478683
Estonia,118,148,1288.6489374861999,39054.0,False,False,1.495629791002314,7.986473183531935,2.0755469613925306
Egypt,957,596,2914.24488113695,469094.0,False,False,2.2094235425038153,8.711676117397811,2.9813655090785445
Eritrea,0,0,4922.83479438949,2369.0,False,False,0.1706215590999789,6.187292080825711,0.0
Spain,8679,14778,710.422647972124,1389927.0,False,False,3.291697114142387,9.796417474883327,3.938519725176492
Ethiopia,148,129,5162.4738482313505,111181.0,False,False,1.352884162416882,7.838114992882189,2.173186268412274
Finland,1186,2019,1113.0055831546902,281411.0,False,False,2.404558012099435,8.907786008181079,3.074450718954591
Fiji,2,26,14634.2328774816,4859.0,False,True,0.12451390938800715,6.026119218909781,0.47712125471966244
Micronesia,0,0,11412.2483672102,428.0,False,False,0.015989597737569524,5.079014835895571,0.0
France,17724,24231,36.9940894415094,2778090.0,False,False,4.875619752149618,11.380556250574047,4.2485862438551045
Gabon,8,41,5472.53504528837,22221.0,False,True,0.7041898450291411,7.113517329580371,0.9542425094393249
Grenada,0,0,6572.01352127205,1192.0,False,True,0.0723878347722231,5.763520088736347,0.0
Georgia,28,59,2986.0587935274602,25172.0,False,False,0.9745043569512695,7.43076165024475,1.462397997898956
Ghana,222,190,4332.059722046861,75996.0,False,True,1.2681728417518623,7.749038580483736,2.3483048630481607
Greenland,0,0,1414.2741174312803,0.0,False,False,0.0,-inf,0.0
Gambia,0,2,4109.62795586349,2172.0,False,True,0.18426970368858217,6.227999595503952,0.0
Guinea,12,0,4178.58631324465,19745.0,False,False,0.7577969065623091,7.1793700422661795,1.1139433523068367
Equatorial Guinea,11,259,5271.123419947279,16877.0,False,False,0.62343374988487,7.010334346947461,1.0791812460476249
Greece,731,627,1891.2986487629898,222008.0,False,False,2.073292620903029,8.574550793758057,2.864511081058392
Guatemala,18,69,7837.16556878878,91318.0,False,False,1.102156322238024,7.571339651025652,1.2787536009528289
Guam,1,0,11208.8548975635,0.0,False,False,0.0,-inf,0.3010299956639812
Guyana,7,51,6776.75241066703,14839.0,False,True,0.5037487383099609,6.845325297507263,0.9030899869919435
Hong Kong,5805,6288,,368373.0,False,False,,,3.763877031495655
Honduras,2,116,7688.044558876609,30568.0,False,False,0.6968841728377444,7.104393414514211,0.47712125471966244
Croatia,59,56,1097.45083549936,69380.0,False,False,1.8076651138164945,8.30579150365,1.7781512503836436
Haiti,1,0,6547.21459203533,20182.0,False,False,0.610929622061845,6.993849907825622,0.3010299956639812
Hungary,1107,2415,1155.0515093183099,184651.0,False,False,2.2064585024604804,8.708692593636542,3.044539760392411
Indonesia,359,982,9726.47757422286,1289429.0,False,False,2.125705538956239,8.627384125330845,2.5563025007672873
Republic of Ireland,16610,12324,0.0,519776.0,True,False,inf,inf,4.2203957782315955
Israel,916,891,3388.6207550795802,527179.0,False,False,2.194717775986385,8.69687741703064,2.962369335670021
India,3909,5935,5887.1077036343795,3468566.0,False,True,2.7709844734534985,9.275190263071119,3.5921767573958667
Iraq,221,50,3547.8212913375105,282876.0,False,False,1.9070473988364642,8.406576648164705,2.346352974450639
Iran,62,15,3524.14801241677,1973738.0,False,False,2.749010112194263,9.253177643930673,1.7993405494535817
Iceland,128,429,791.32336357054,27702.0,False,False,1.5563891184903311,8.049099418225875,2.110589710299249
Italy,8241,15451,713.8862329742179,1996934.0,False,False,3.4468899332402514,9.951676986165378,3.9160326101885694
Jamaica,17,31,6978.0903874205105,16104.0,False,True,0.519538546774119,6.868139452916517,1.255272505103306
Jordan,181,35,3453.2968680558397,48066.0,False,False,1.1737360124125522,7.648546348977054,2.2600713879850747
Japan,4407,6520,7726.4910369032805,4300621.0,False,False,2.746328419053764,9.2504911477341,3.6442415858437287
Kenya,260,274,5955.44814812944,114858.0,False,True,1.3072008319880588,7.790189083583898,2.416640507338281
Cambodia,7,799,9364.90924371871,28330.0,False,False,0.6047791290789095,6.985685283194767,0.9030899869919435
Kiribati,0,0,12587.097510483502,207.0,False,True,0.0070840597501453766,4.720987030442664,0.0
Comoros,0,0,8021.8688738542005,1242.0,False,False,0.0625168404827733,5.694788318765472,0.0
North Korea,0,0,7662.977749068629,0.0,False,False,0.0,-inf,0.0
South Korea,4703,4458,8047.58581280958,1734207.0,False,False,2.335445999965991,8.838377600163117,3.6724673130680823
Kuwait,483,1161,4430.9058847447905,183568.0,False,False,1.6276627963268553,8.122246732416027,2.6848453616444123
Cayman Islands,9,0,7057.022975307271,0.0,False,False,0.0,-inf,1.0
Kazakhstan,278,561,3123.12878227281,224338.0,False,False,1.8623172972736692,8.36125523264198,2.4456042032735974
Laos,1,20,8499.42849282786,16250.0,False,False,0.4641754503246328,6.78640592248027,0.3010299956639812
Lebanon,301,13,3322.9358725326597,24494.0,False,False,0.9227873291623544,7.3724800349659425,2.4800069429571505
Liechtenstein,5,2,734.080728058956,0.0,False,False,0.0,-inf,0.7781512503836436
Sri Lanka,182,1066,8350.329886228079,73739.0,False,True,0.9925830774750385,7.4509358923458695,2.2624510897304293
Liberia,0,0,4618.53234755365,3900.0,False,False,0.26586078718812306,6.431502898933543,0.0
Lesotho,0,0,9216.57929355691,2507.0,False,True,0.10449046134187996,5.939526851740711,0.0
Lithuania,158,760,1287.13751113658,68031.0,False,False,1.7312219380998977,8.228024189228389,2.2013971243204513
Luxembourg,118,409,338.476846337836,82154.0,False,False,2.386885377616394,8.890042029358542,2.0755469613925306
Latvia,112,435,1306.75318187066,40588.0,False,False,1.5059660699143695,7.997146367063043,2.0530784434834195
Libya,63,66,2150.44079722816,40836.0,False,False,1.3008039970773884,7.7834579860596875,1.806179973983887
Morocco,404,542,1565.5396432466198,142874.0,False,False,1.9650220260986155,8.465231415847727,2.6074550232146687
Moldova,30,42,1820.4150782890802,14048.0,False,False,0.9403631279540856,7.39238635611574,1.4913616938342726
Montenegro,8,0,1569.63542446773,6127.0,False,False,0.690502123748829,7.096391370383073,0.9542425094393249
Madagascar,2,32,8388.790885715509,15106.0,False,False,0.44727221544247014,6.760392393459411,0.47712125471966244
Marshall Islands,0,1,11948.410548348898,271.0,False,False,0.009740119916032266,4.8606014359068554,0.0
FYR Macedonia,529,19,1788.1154269653198,14101.0,False,False,0.9487041699235602,7.401796644131655,2.724275869600789
Mali,10,0,2777.7039276617497,18434.0,False,False,0.8828896037112618,7.326875911860189,1.0413926851582251
Myanmar,4,90,7711.9889311797,59530.0,False,False,0.94047415326377,7.3925117666025795,0.6989700043360189
Mongolia,2,2,5354.9271751981205,15720.0,False,False,0.5950125136046025,6.972641254335554,0.47712125471966244
Northern Mariana Islands,0,0,10681.1352133741,0.0,False,False,0.0,-inf,0.0
Mauritania,8,5,2540.6503187389603,10091.0,False,False,0.6965151993787982,7.103931592549726,0.9542425094393249
Montserrat,0,0,6205.618838437329,0.0,False,False,0.0,-inf,0.0
Malta,272,143,1960.8645018722602,17156.0,False,True,0.988969077509345,7.446910734754907,2.436162647040756
Mauritius,11,198,9595.812725701371,11497.0,False,True,0.34205273317434204,6.58344504939718,1.0791812460476249
Maldives,6,9,8399.503535777521,5900.0,False,True,0.231067342216903,6.351540676009339,0.8450980400142568
Malawi,1,14,7360.61411562869,11554.0,False,True,0.40988343531533405,6.70076059462588,0.3010299956639812
Mexico,1234,918,7370.5908708282095,1424533.0,False,False,2.2884114732852243,8.791112491040824,3.0916669575956846
Malaysia,1283,1747,9948.479746366009,434059.0,False,True,1.6496335661757333,8.144734327025539,3.1085650237328344
Mozambique,14,64,7655.414449940709,17873.0,False,True,0.523055134379238,6.873171029410608,1.1760912590556813
Namibia,18,29,7607.75454647486,12488.0,False,True,0.4218478252773628,6.720178679415317,1.2787536009528289
New Caledonia,14,0,15130.5739534471,0.0,False,False,0.0,-inf,1.1760912590556813
Niger,1,0,3186.92461725433,14639.0,False,False,0.7476802747367224,7.167081901501473,0.3010299956639812
Nigeria,1002,1422,4117.60903390519,504203.0,False,True,2.0914926097527617,8.592902598936172,3.0013009330204183
Nicaragua,5,19,7696.13799223071,15695.0,False,False,0.4827785049713452,6.814430755623839,0.7781512503836436
Netherlands,17359,31079,134.763987410066,990583.0,False,False,3.8663760976987382,10.371259299684896,4.239549720840473
Norway,3162,12827,303.463542020949,504703.0,False,False,3.221190414065117,9.725871645247608,3.500099191915723
Nepal,4,10,6685.72649842189,39028.0,False,False,0.8348980192359532,7.2711699715529665,0.6989700043360189
Nauru,0,0,13230.0907519275,134.0,False,True,0.0043765929078726125,4.510484256734446,0.0
New Zealand,419,813,14161.4142073655,242700.0,False,True,1.2585922436738404,7.738905432291144,2.6232492903979003
Oman,331,132,5349.42400115387,108969.0,False,False,1.3298092067098601,7.813938225131741,2.5211380837040362
Panama,159,14,7882.489281354559,71085.0,False,False,1.0007849412645222,7.4600568605046815,2.2041199826559246
Peru,134,229,8450.02605988828,239333.0,False,False,1.467213504163516,7.957086817953199,2.130333768495006
French Polynesia,0,0,13217.1820911906,0.0,False,False,0.0,-inf,0.0
Papua New Guinea,5,106,12788.6403040275,31362.0,False,True,0.5381126339259957,6.894521659614566,0.7781512503836436
Philippines,321,336,9608.76548085521,401662.0,False,False,1.6314602457058838,8.126135434253637,2.507855871695831
Pakistan,431,985,5371.963781987411,376493.0,False,True,1.8517767375857719,8.350566111569417,2.635483746814912
Poland,3454,7988,836.344408763818,716305.0,False,False,2.9332196031830615,9.43765510642462,3.5384480517102173
Portugal,1078,2235,902.37671330205,255854.0,False,False,2.4541333589944765,8.957546613301485,3.0330214446829107
Palau,0,0,11476.1344219713,226.0,False,False,0.008469455956443947,4.799255094190656,0.0
Paraguay,16,6,9300.66175507855,41855.0,False,False,0.7403798568053702,7.158175777566638,1.2304489213782739
Qatar,1989,2567,5013.92763075308,221369.0,False,False,1.6546656107913953,8.149881023610165,3.298853076409707
Romania,840,1439,1493.52902481539,299885.0,False,False,2.304898641857216,8.807683357889067,2.924795995797912
Serbia,47,97,1413.5699194923002,62721.0,False,False,1.656774891855263,8.152037960683117,1.6812412373755872
Russia,2513,5150,1198.23061535275,2133092.0,False,False,3.250713064644837,9.75541145671287,3.400365273349939
Rwanda,1,1,6399.424227709661,12098.0,False,True,0.460970355791609,6.7815149606106795,0.3010299956639812
Saudi Arabia,4533,2206,3636.5906675100396,1010588.0,False,False,2.44543971627227,8.948821998738717,3.6564815157904986
Solomon Islands,0,1,13697.576963759298,1601.0,False,True,0.04800728636343549,5.572689864212059,0.0
Seychelles,0,58,8022.813953019109,2005.0,False,True,0.09687954671177794,5.9027299374279565,0.0
Sudan,72,6,3828.12992256377,42762.0,False,False,1.0853072526988303,7.553013621957846,1.863322860120456
Sweden,4275,7004,694.775898559467,603922.0,False,False,2.9396354485179716,9.444078387656605,3.6310376965367404
Singapore,3750,1836,10649.0079117433,423632.0,False,True,1.6104616874026934,8.10462189000616,3.574147064150723
Slovenia,92,249,1033.2953131387899,62191.0,False,False,1.7866595379697703,8.28444536221696,1.968482948553935
Slovakia,309,1910,1150.94660696149,112418.0,False,False,1.9942044206244456,8.49472295927736,2.4913616938342726
Sierra Leone,4,0,4471.57661027904,4101.0,False,True,0.2826506991516431,6.467371375103095,0.6989700043360189
San Marino,1,2,1151.1751772107598,1623.0,False,False,0.3819924650906419,6.6541193851025096,0.3010299956639812
Senegal,80,16,3789.92618353375,27542.0,False,False,0.9173563434071391,7.366307004279757,1.9084850188786497
Somalia,3,0,5800.280282966911,8416.0,False,False,0.3893369970878804,6.666599028239499,0.6020599913279624
Suriname,8,0,6654.93464452614,3011.0,False,False,0.16210005956627685,6.1605092423292875,0.9542425094393249
South Sudan,0,0,5014.5745453661,4784.0,False,False,0.29092880918198505,6.484499360789153,0.0
El Salvador,9,5,8094.5095962605,31989.0,False,False,0.6947751978245373,7.101752403271969,1.0
Sint Maarten,1,27,6142.69331644702,0.0,False,False,0.0,-inf,0.3010299956639812
Syria,3,2,3204.4657238837603,0.0,False,False,0.0,-inf,0.6020599913279624
Chad,0,0,3314.22342988518,12945.0,False,False,0.6907180158272176,7.096662553154208,0.0
Togo,32,3,4339.97768368367,8359.0,False,True,0.4662812636339654,6.789609110484446,1.5185139398778875
Thailand,1150,2437,8573.646257124019,534758.0,False,False,1.8018994403307433,8.299934011122268,3.0610753236297916
Tajikistan,0,0,5098.33438542627,9983.0,False,False,0.4710114530695385,6.796775036505286,0.0
East Timor,0,0,,2455.0,False,False,,,0.0
Turkmenistan,8,41,3938.62762405966,74439.0,False,False,1.2988471913278514,7.78139788932347,0.9542425094393249
Tunisia,86,105,1658.14017714022,46282.0,False,False,1.4610780570881325,7.950733157126516,1.9395192526186185
Tonga,1,0,15279.5102923771,501.0,False,True,0.014011607482566258,5.020670572137582,0.3010299956639812
Turkey,3394,7553,2166.30668332504,853487.0,False,False,2.596577893456978,9.100419252532836,3.5308397786165204
Tuvalu,0,0,,64.0,False,True,,,0.0
Taiwan,1083,3085,9089.54884687116,828659.0,False,False,1.9645713563534322,8.464775805304594,3.0350292822023683
Tanzania,70,14,6404.73160967151,76582.0,False,True,1.1125077251079771,7.582568050372458,1.8512583487190752
Ukraine,188,201,1496.58122176529,199719.0,False,False,2.12856131583498,8.630261372829708,2.2764618041732443
Uganda,12,1,5936.34594191369,48352.0,False,True,0.9611874081484658,7.41583752265481,1.1139433523068367
United States inc Puerto Rico,47650,33197,4120.69293253716,25035164.0,False,False,3.7836516652563223,10.288522469530259,4.67807201913856
Uruguay,189,51,10214.337740335699,71161.0,False,False,0.9012825902340029,7.347974110211072,2.278753600952829
Uzbekistan,13,0,3974.2294327193,79117.0,False,False,1.320302249547767,7.803959157341548,1.146128035678238
Venezuela,202,253,6719.278265038361,82145.0,False,False,1.1214045911281463,7.592200788691574,2.307496037913213
British Virgin Islands,47,6,,0.0,False,False,,,1.6812412373755872
Vietnam,288,3013,8511.949443381629,413808.0,False,False,1.6956125615308626,8.191712128610963,2.4608978427565478
Vanuatu,0,5,14688.1865806392,984.0,False,True,0.028161412748916162,5.330969199411006,0.0
Samoa,0,0,14701.4996357008,830.0,False,True,0.023851753337130143,5.256658736501287,0.0
Kosovo,0,0,1693.0812087929198,9242.0,False,False,0.8101442230677269,7.2420304562144455,0.0
Yemen,16,1,5253.554541801521,27594.0,False,False,0.7960497970210452,7.225303696159457,1.2304489213782739
South Africa,2267,2703,8559.92838851918,411480.0,False,True,1.690820444336603,8.186820881347497,3.355643050220869
Zambia,36,8,7111.1592852699705,27025.0,False,True,0.6812742496910495,7.084767577580948,1.568201724066995
Zimbabwe,16,18,7886.57412517778,38280.0,False,False,0.767439258565706,7.191025821151978,1.2304489213782739
